"-556,-434","0,0","-39,-26","-66,-61","-135,-102","-196,-138","-262,-213","-352,-275","-420,-307","-517,-361","-530,-389"
"879,376","0,0","13,10","142,59","358,147","499,215","611,259","698,306","805,342","845,358","879,376"
"554,-387","0,0","71,-51","162,-117","226,-168","282,-210","340,-246","401,-295","449,-334","478,-352","503,-361"
"835,316","0,0","108,37","225,77","323,123","460,183","558,225","634,254","692,272","766,294","813,305"
"74,-45","0,0","7,-6","18,-15","26,-22","30,-25","39,-30","48,-35","55,-40","63,-43","67,-44"
"65,51","0,0","5,4","24,16","34,20","44,24","53,32","58,40","61,47","63,51","64,52"
"-55,43","0,0","-3,1","-8,5","-14,9","-22,14","-30,20","-35,25","-41,31","-48,37","-54,41"
"70,36","0,0","1,1","12,6","25,12","46,19","61,25","65,29","68,33","69,35","70,36"
"52,-46","0,0","4,-5","8,-8","14,-13","18,-16","27,-25","33,-32","42,-41","48,-46","52,-46"
"55,-42","0,0","5,-4","15,-10","23,-15","30,-21","37,-26","41,-30","45,-33","50,-37","52,-39"
"67,-34","0,0","8,-3","18,-7","27,-12","39,-18","46,-21","51,-25","58,-28","61,-31","64,-33"
"-50,-36","0,0","-2,-1","-7,-4","-12,-7","-17,-11","-24,-16","-35,-24","-41,-30","-45,-34","-49,-36"
"80,-44","0,0","7,-5","16,-10","23,-14","30,-17","42,-23","53,-27","63,-32","73,-38","77,-41"
"61,-45","0,0","7,-6","19,-14","26,-20","35,-27","44,-34","49,-37","54,-41","58,-44","59,-44"
"-59,-36","0,0","-3,-2","-7,-6","-16,-12","-20,-17","-27,-21","-35,-25","-43,-29","-50,-32","-54,-34"
"-83,44","0,0","-7,4","-16,10","-25,14","-38,20","-50,27","-60,31","-69,35","-77,41","-81,43"
"61,-37","0,0","3,-3","11,-8","18,-12","26,-17","34,-20","42,-23","49,-28","55,-32","59,-35"
"-81,39","0,0","-6,2","-20,8","-40,16","-56,23","-65,26","-70,30","-74,32","-77,35","-80,38"
"71,38","0,0","3,2","15,8","25,14","34,20","49,27","55,29","62,32","69,35","71,37"
"82,34","0,0","7,3","28,11","45,19","56,25","66,29","73,32","76,35","79,35","80,35"
"80,-46","0,0","5,-5","18,-14","31,-24","42,-30","53,-36","64,-40","71,-43","77,-45","79,-45"
"66,-52","0,0","4,-5","14,-13","29,-27","44,-39","54,-48","59,-51","63,-53","64,-53","66,-53"
"-64,39","0,0","-2,1","-8,5","-16,10","-24,16","-33,23","-39,28","-47,33","-54,37","-61,38"
"87,-44","0,0","5,-3","21,-7","35,-14","56,-25","65,-30","70,-33","75,-36","81,-40","86,-43"
"-92,-41","0,0","-6,-3","-20,-11","-30,-17","-41,-23","-52,-29","-59,-31","-75,-36","-89,-39","-92,-40"
"-65,-35","0,0","-5,-4","-13,-9","-25,-15","-35,-21","-45,-28","-52,-31","-58,-34","-61,-35","-63,-35"
"-55,-33","0,0","-5,-3","-14,-9","-25,-16","-35,-24","-41,-27","-44,-28","-49,-31","-52,-32","-53,-33"
"76,-45","0,0","4,-4","15,-10","27,-17","38,-25","47,-28","55,-34","63,-38","73,-42","76,-45"
"51,47","0,0","3,5","8,10","14,15","18,20","23,25","30,30","38,35","44,40","47,43"
"-82,-47","0,0","-5,-3","-15,-11","-33,-25","-44,-32","-56,-36","-67,-41","-72,-43","-76,-44","-80,-46"
"-67,-32","0,0","-5,-3","-14,-8","-25,-13","-36,-18","-45,-22","-52,-25","-57,-28","-59,-29","-61,-30"
"78,29","0,0","4,3","13,6","22,10","36,15","51,20","61,24","68,26","74,27","76,28"
"55,-33","0,0","2,-2","8,-7","15,-13","22,-17","30,-22","36,-25","42,-28","48,-30","52,-32"
"-51,-40","0,0","-3,-3","-10,-10","-17,-16","-25,-22","-37,-28","-41,-32","-44,-36","-47,-38","-50,-39"
"-79,47","0,0","-6,3","-18,12","-39,23","-58,31","-70,36","-75,40","-78,43","-79,44","-79,46"
"76,38","0,0","7,4","18,9","36,17","48,22","60,26","72,31","76,35","76,36","76,38"
"-83,32","0,0","-4,0","-10,3","-21,7","-39,15","-55,21","-69,27","-76,30","-79,32","-80,32"
"60,51","0,0","2,4","7,11","13,19","23,28","34,36","50,45","59,51","61,54","61,52"
"75,-42","0,0","8,-6","22,-15","31,-21","41,-25","51,-30","57,-34","66,-38","71,-40","73,-41"
"-75,43","0,0","-6,3","-16,9","-31,18","-50,25","-61,30","-68,35","-70,37","-72,40","-74,42"
"52,-42","0,0","2,-2","7,-5","13,-9","20,-15","32,-24","40,-31","45,-35","49,-39","51,-41"
"58,-33","0,0","4,-5","15,-11","24,-17","31,-20","39,-25","48,-28","55,-31","56,-31","57,-32"
"-70,33","0,0","-6,3","-19,8","-40,16","-58,23","-64,27","-66,28","-67,29","-68,30","-69,31"
"76,32","0,0","4,4","17,9","28,13","38,18","46,22","58,26","70,28","75,30","76,31"
"60,41","0,0","5,6","19,15","27,20","33,25","38,29","45,33","51,37","55,40","58,41"
